"","","","Volunteer Education Code:","Volunteer Highest grade completed:","Volunteer Highest Occupational Code:","Volunteer Highest job title/description:","Spouse/Significant Other Education Code:","Spouse/Significant Other Highest grade completed:","Spouse/Significant Other Highest Occupational Code:","Spouse/Significant Other Highest job title/description:","Maternal/Guardian #1 Education Code: (Reference age 16)","Maternal/Guardian #1 Highest grade completed:","Highest Maternal/Guardian #1 Occupational Code:","Highest Maternal/Guardian #1 job title/description:","Paternal/Guardian #2 Education Code:","Paternal/Guardian #2 Highest grade completed:","Highest Paternal/Guardian #2 Occupational Code:","Highest Paternal/Guardian #2  job title/description:","Subject SES Score","Subject Parental SES Score"
"A00039951","Adult- Age 22-59","V1","6","16","6","MANAGER","0","NA","0","NA","6","16","5","OWNED DOG GROOMING BUSINESS","0","NA","0","NA","48","43"
"A00066153","ONE_DAY","VA","5","13","3","DELIVERY DRIVER","0","NA","0","NA","6","16","8","REGISTERED NURSE","4","12","6","SECURITY SALESMAN","30","50"
"A00013809","Older Adult- Age 60-64","V1","6","16","7","MANAGER FAMILY SERVICE PROGRAM","0","NA","0","NA","7","18","7","TEACHER","6","16","3","GUARD","53","44.5"
"A00061407","ONE_DAY","VA","6","16","6","CASE MANAGER","0","NA","0","NA","5","14","5","NURSING AIDE","7","18","6","CASE MANAGER","48","45.5"
"A00053577","Adult- Age 22-59","V1","6","16","1","SUBSTITUTE TEACHER","0","NA","0","NA","6","16","8","ACCOUNTANT","7","18","7","SOCIAL WORKER","24","54.5"
"A00028552","Older Adult- Age 60-64","V1","6","16","9","VP AT ADVERTISING AGENCY","0","NA","0","NA","5","14","7","TEACHER","5","14","7","UNION OFFICIAL","63","50"
"A00058170","Older Adult- Age 65-85","V1","6","16","7","HR MANAGER","7","18","7","ELEMENTARY SCHOOL TEACHER","5","14","6","SECRETARY","5","14","5","GROCERY STORE OWNER","54.5","42.5"
"A00028152","Adult- Age 22-59","V1","5","14","6","POLICE OFFICER","6","16","7","NURSE","4","12","0","HOUSE WIFE","4","12","6","POLICE OFFICER","49","42"
"A00056371","Older Adult- Age 65-85","V1","6","16","9","PRINCIPLE ENGINEER","4","12","4","RETAIL WORKER AT MACY'S","4","12","2","COOK FOR A VETERAN'S HOME","4","12","4","TOOL MAKER IN A FACTORY","43.5","27"
"A00065565","ONE_DAY-Age 65-85","VA","5","14","7","MANAGER AT GOLF COURSE","4","12","6","SECRETARY","4","12","7","DRESS DESIGNER","1","6","3","BARBER","46","32.5"
"A00043417","Adult- Age 22-59","V1","5","13","6","STORE MANAGER","0","NA","0","NA","7","18","8","REGISTERED NURSE","5","14","6","SALES MANAGER","45","53"
"A00058552","ENROLLED","V1","7","18","8","SENIOR MANAGEMENT TRAINING DIVISION","7","18","7","PROJECT MANAGER FOR CONSUMER PRODUCTS","6","16","7","ELEMENTARY SCHOOL TEACHER.","4","12","6","OWNER - SMALL BUSINESS (2 EMPLOYEES)","58.5","47.5"
"A00058131","ENROLLED","V1","6","16","5","HEARING SCREENER FOR NEWBORNS","1","6","2","LANDSCAPER","4","12","3","SEAMSTRESS","5","14","7","IBM PROGRAMMER","28","38.5"
"A00053474","Adult-Age 18-21","V1","5","15","1","STUDENT","0","NA","0","NA","6","16","7","SUPERVISOR ACCOUNTS PAYABLE","4","12","6","POLICE OFFICER","20","47.5"
"A00028995","Adult- Age 22-59","V1","6","16","7","BUYER IN HOMEGOODS","4","12","4","DETECTIVE","4","12","0","HOMEMAKER","4","12","4","ELECTRICIAN","42.5","32"
"A00044171","Adult-Age 18-21","V1","3","11","1","STUDENT","0","NA","0","NA","6","16","7","MIDDLE SCHOOL TEACHER","6","16","7","CLAIMS ADJUSTER","14","53"
"A00040623","Adult- Age 22-59","V1","5","14","3","HAIRDRESSER","0","NA","0","NA","5","14","0","UNKNOWN","5","14","0","UNKNOWN","30","UNKNOWN"
"A00031145","Adult-Age 18-21","V1","4","12","1","STUDENT","0","NA","0","NA","6","16","6","TEACHER AIDE AT PRIVATE ELEMENTARY SCHOOL","5","14","7","MARVEL COMICS - FREELANCE WORK - ARTIST AND WRITER","17","49"
"A00038414","Older Adult- Age 60-64","V1","7","18","6","THERAPIST","7","18","8","HIGH SCHOOL MATH TEACHER","7","16","7","GRAPHIC ARTIST/DESIGNER","4","12","4","DRY CLEANER","56","44"
"A00061274","ONE_DAY-Age 65-85","VA","7","23","9","SCIENTIST - BIOCHEMIST","6","16","6","OCCUPATIONAL THERAPIST","4","12","1","HOMEMAKER","7","20","9","PHYSICIAN","57","66"
"A00063479","ONE_DAY-Age 65-85","VA","5","13","7","ASSISTANT TREASURER - BANK","6","16","9","PROFESSOR - COLLEGE","4","12","5","SERGEANT - CORRECTIONAL FACILITY","4","12","5","OWNED BUSINESS - $50,000","56.5","37"
"A00037582","Adult- Age 22-59","V1","5","14","6","PEACE OFFICER","0","NA","0","NA","4","12","6","CUSTODIAL JANITOR SUPERVISOR","0","NA","0","NA","45","42"
"A00052577","Adult- Age 22-59","V1","6","16","7","ACCOUNT EXECUTIVE","6","16","8","SENIOR VP IN BANKING","4","12","1","HOUSEWIFE","4","12","4","TELEPHONE COMPANY INSTALLATION","58","32"
"A00040286","Older Adult- Age 65-85","V1","7","18","8","HIGH SCHOOL TEACHER","6","16","7","ADVERTISING ACCOUNT EXECUTIVE","2","8","1","HOMEMAKER","5","14","4","DRAFTSMAN","57","35"
"A00051925","Adult- Age 22-59","V1","7","17","7","ELEMENTARY SCHOOL TEACHER","7","17","9","COMPUTER SYSTEMS ENGINEER","1","6","0","HOUSEWIFE","0","NA","0","NA","61","0"
"A00037848","ENROLLED","V1REP","5","15","6","MANAGER AT BLOCKBUSTER","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","45","NA"
"A00054173","Adult-Age 18-21","V1","5","13","4","BAKER","0","NA","0","NA","7","18","7","BUSINESS OWNER - GRAPHIC DESIGN","6","16","8","VP OF FUEL AND ENERGY COMPANY","35","57"
"A00033764","Adult- Age 22-59","V1","7","18","7","MARKETING AND PUBLIC RELATIONS MANAGER","6","16","6","COURT OFFICER","6","16","7","ELEMENTARY SCHOOL TEACHER","7","20","8","HIGH SCHOOL HISTORY TEACHER","52","57"
"A00044100","Adult- Age 22-59","V1","6","16","6","CASE MANAGER","0","NA","0","NA","4","12","1","HOMEMAKER","3","11","3","TRUCK DRIVER","48","20.5"
"A00051457","Older Adult- Age 65-85","V1","7","18","8","TEACHER IN HIGH SCHOOL","0","NA","0","NA","6","16","8","RN","5","14","6","SHOE SALESMAN","61","51.5"
"A00057035","ENROLLED","V1","5","14","4","LAB EMPLOYEE","0","NA","0","NA","5","13","4","RECEPTIONIST","5","14","7","INSURANCE AGENT/BROKER","35","42.5"
"A00028822","Adult- Age 22-59","V1","5","13","6","DENTAL TECHNICIAN","5","14","6","CONSTRUCTION PROJECT MANAGER","5","13","6","SECRETARY","4","12","6","FIREMAN","45","43.5"
"A00037124","Older Adult- Age 60-64","V1","5","13","6","PET STORE MANAGER","0","NA","0","NA","6","16","8","REGISTERED NURSE","6","16","9","CHEMIST","45","60.5"
"A00039895","Adult- Age 22-59","V1","6","16","8","SENIOR EDITOR AT PUBLISHING HOUSE","5","14","6","CHEF","4","12","1","HOMEMAKER","4","12","8","VICE PRESIDENT OF BANK","51.5","52"
"A00062368","ONE_DAY- Age 22-59","VA","5","14","7","PROJECT MANAGER","0","NA","0","NA","5","13","4","SECRETARY","4","12","2","NYC SANITATION","50","27.5"
"A00033589","Adult- Age 22-59","V1","6","16","6","NUTRITIONIST","0","NA","0","NA","1","6","1","HOMEMAKER","2","8","2","FACTORY WORKER","48","12"
"A00051064","Adult-Age 18-21","V1","5","13","1","STUDENT","0","NA","0","NA","5","14","6","SECRETARY","7","18","9","SENIOR VP MARKET RESEARCH","20","55.5"
"A00035943","Adult- Age 22-59","V1","6","16","6","BRAND ASSISTANT","0","NA","0","NA","7","18","7","MIDDLE SCHOOL TEACHER","6","16","7","COUNTRY CLUB MANAGER","48","54.5"
"A00052612","Adult- Age 22-59","V1","6","17","6","TEACHING ASSISTANT KINDERGARTEN","0","NA","0","NA","4","12","2","WAITRESS","6","16","7","TEACHER 6TH-7TH GRADE","48","37.5"
"A00065865","ONE_DAY-Age 65-85","VA","5","13","7","ACCOUNTANT","5","14","6","DENTAL ASSISTANT","0","NA","0","NA","4","12","4","CORPORAL IN MILITARY","47.5","32"
"A00040174","Adult- Age 22-59","V1","6","16","7","MECHANICAL ARTIST","6","16","8","ART DIRECTOR","7","18","6","TEACHING ASSISTANT","5","14","6","MACHINE SHOP FOREMAN","55.5","48"
"A00062282","ONE_DAY- Age 22-59","VA","5","14","7","MUSICIAN","5","14","3","CHILD CARE WORKER","5","14","1","HOUSEWIFE","7","18","8","MINISTER","37.5","61"
"A00031625","Adult- Age 22-59","V1","6","16","5","ADMINISTRATIVE ASSISTANT","6","16","6","SALES ANALYST AT VERIZON","5","13","3","ESCORT FOR BUS COMPANY FOR SPECIAL NEEDS KIDS.","5","13","7","BUILDING MANAGER","45.5","40"
"A00060264","ONE_DAY- Age 22-59","VA","6","16","7","SETTLING INSURANCE CLAIMS, HR, NON-PROFIT FUNDRAISER","6","16","7","INSURANCE AND FINANCIAL SALES","4","12","5","CLERICAL, PART-TIME","6","16","8","ACCOUNTING FOR AN INSURANCE COMPANY","53","47.5"
"A00040543","Adult-Age 18-21","V1","5","13","5","SALES WORKER","0","NA","0","NA","7","18","7","ELEMENTARY SCHOOL TEACHER","7","18","6","POLICE OFFICER","30","53.5"
"A00061881","ONE_DAY- Age 18-21","VA","5","13","1","STUDENT- NO OCCUPATION","0","NA","0","NA","4","12","1","HOUSEWIFE","4","12","1","LABORER- FARM WORKER","20","17"
"A00052214","Older Adult- Age 65-85","V1","5","14","6","DENTAL HYGIENIST","6","16","8","MARKETING VP","4","12","5","SALESPERSON","0","NA","5","OWNED SMALL BUSINESS","51.5","31"
"A00039143","Adult- Age 22-59","V1","5","14","5","BANK TELLER","0","NA","0","NA","4","12","6","MANAGER","0","NA","0","NA","40","42"
"A00044068","Older Adult- Age 65-85","V1","4","12","6","TEAM LEADER OF MARKETING AT HALLMARK FOR CT, NY, NJ","4","12","4","MILK DELIVERY BUSINESS","4","12","1","HOMEMAKER","4","12","6","ADVERTISEMENT/NEWSPAPER","37","29.5"
"A00032876","Older Adult- Age 60-64","V1","6","16","4","STOCK HANDLER","0","NA","0","NA","3","11","2","CHEF AT A DELI","2","8","2","CHEF AT A DELI","38","17.5"
"A00027544","Adult- Age 22-59","V1","5","14","3","WAREHOUSE WORKER","0","NA","0","NA","2","7","2","WAITRESS","4","12","3","TRUCK DRIVER","30","21.5"
"A00037387","Adult-Age 18-21","V1","4","12","1","NO REGULAR JOB","0","NA","0","NA","5","13","6","SUNDAY SCHOOL COORDINATOR","4","12","6","MAINTENANCE MANAGER","17","43.5"
"A00038213","Adult-Age 18-21","V1","5","15","5","CLERICAL","0","NA","0","NA","7","18","7","JOURNALIST","7","18","9","ENGINEER","40","61"
"A00066282","ONE_DAY- Age 22-59","VA","7","18","7","SPECIAL ED- PRESCHOOL","0","NA","0","NA","5","14","8","RN","7","22","9","COLLEGE PROFESSOR","56","60.5"
"A00066788","ENROLLED","VA_ALG","5","13","7","MANAGER- AUTOMOTIVE INDUSTRY","5","13","4","TECHNICIAN FOR CABLEVISION","6","16","8","RN","6","16","9","MARINE CORP COLONEL","42.5","60.5"
"A00065487","ONE_DAY- Age 22-59","VA","6","16","9","VICE PRESIDENT- CORPORATE FINANCE COMPANY","6","16","7","SOFTWARE DEVELOPER","6","16","9","CHEMIST","6","16","8","MANAGING EDITOR","58","60.5"
"A00038718","Adult-Age 18-21","V1","5","13","5","ROPES COURSE INSTRUCTOR","0","NA","0","NA","6","16","5","CLERICAL","6","16","6","COMPUTER ANALYST","20","45.5"
"A00051604","Older Adult- Age 65-85","V1","6","16","7","INFORMATION TECH MANAGER","0","NA","0","NA","4","12","1","HOUSEWIFE","4","12","6","BUSINESS OWNER","53","42"
"A00033747","Adult- Age 22-59","V1","5","15","6","ASSISTANT MANAGER AT RETAIL STORE","0","NA","0","NA","3","NA","7","SUPERVISOR AT A NURSING HOME","3","NA","5","SALES ASSOCIATE AT GROCERY STORE","45","39"
"A00029126","Adult- Age 22-59","V1","6","16","8","COMPUTER SYSTEMS ANALYST","0","NA","0","NA","0","NA","0","NA","4","12","9","VICE PRESIDENT OF ENGINEERING FIRM","58","57"
"A00033232","Adult- Age 22-59","V1","6","16","6","COMPUTER TECHNICIAN","0","6","0","N/A","1","6","3","HOME HEALTH AIDE","0","N/A","0","N/A","48","18"
"A00061284","ONE_DAY- Age 22-59","VA","6","16","7","TEACHING PRE-K","0","NA","0","NA","4","12","5","ADMINISTRATOR- CHILDCARE RESOURCES AT ROCKLAND","4","12","4","CORRECTION OFFICER","53","34.5"
"A00062929","ONE_DAY- Age 22-59","VA","6","16","2","WAITRESS","0","NA","0","NA","2","9","6","RESEARCH ASSISTANT","5","13","3","MACHINE OPERATOR- PRINTING COMPANY","28","33"
"A00073600","ONE_DAY","VA","6","17","7","ILLUSTRATOR","0","NA","0","NA","7","18","9","LAWYER","7","18","9","LAWYER","53","66"
"A00035054","Older Adult- Age 65-85","V1","7","18","8","CPA","4","12","7","CLOTHING INDUSTRY DESIGNER","1","0","0","HOUSEWIFE","1","0","6","SMALL BUSINESS OWNER","54","33"
"A00058686","ENROLLED","V1","5","15","1","STUDENT","0","NA","0","NA","4","12","4","RAN DAYCARE","6","16","7","TEACHER- ELEMENTARY","20","42.5"
"A00043521","Adult- Age 22-59","V1","6","16","6","RETAIL MANAGER","6","16","6","MANAGER OF PURCHASING DEPARTMENT","1","4","5","OWN RESTAURANT","1","4","5","OWN RESTAURANT","48","28"
"A00039845","Older Adult- Age 65-85","V1","5","15","8","R.N.","0","NA","0","NA","4","12","3","DRESSMAKER","4","12","6","POLICEMAN","55","34.5"
"A00040628","ONE_DAY","VA-REP","6","16","3","LIFEGUARD","0","NA","0","NA","5","13","6","ADMINISTRATOR- NON-PROFIT","6","16","6","ADMINISTRATOR- REHAB SERVICES","33","46.5"
"A00029076","Adult-Age 18-21","V1","5","15","1","STUDENT","0","NA","0","NA","5","14","7","REGISTERED NURSE","7","18","7","PHYSICAL THERAPIST","20","53"
"A00053926","Older Adult- Age 65-85","V1","7","18","7","DIRECTOR OF SCIENCE DEPARTMENT AT ADVERTISING AGENCY","0","NA","0","NA","4","12","4","OWNER RETAIL STORE","5","14","4","OWNER RETAIL STORE","56","33.5"
"A00066131","ENROLLED","VA_ALG","7","18","7","PROGRAM MANAGER","6","16","7","HOSPITAL MANAGER","4","12","6","SECRETARY","5","14","6","OWNER- DRY CLEANING","54.5","43.5"
"A00039391","Adult- Age 22-59","V1","7","18","8","HIGH SCHOOL TEACHER","0","NA","0","NA","7","18","7","MIDDLE SCHOOL TEACHER","7","18","6","POLICE OFFICER","61","53.5"
"A00037120","Older Adult- Age 65-85","V1","7","18","8","SPEECH AND LANGUAGE PATHOLOGIST","0","NA","0","NA","0","NA","0","NA","1","6","4","AUTOMOTIVE JUNK DEALER","61","23"
"A00055692","Adult- Age 22-59","V1","4","12","3","TRUCK DRIVER","0","NA","0","NA","4","12","5","STORE CLERK","0","NA","0","NA","27","37"
"A00037421","Adult- Age 22-59","V1","4","12","4","STOCK","4","12","4","CARPENTER","4","12","5","CLERICAL","2","9","4","MACHINIST","32","31.5"
"A00053927","Adult- Age 22-59","V1","6","16","7","IT MANAGER","4","12","5","ENDODONTIST MANAGER, DENTAL ASSISTANT","4","12","6","HOMEMAKER, SECRETARY ADMIN ASSISTANT","7","16","9","COMPUTER SCIENCE TEACHER, MIDDLE SCHOOL TEACHER, VP TRADING COMPANY IMPORTING AND EXPORTING","45","54"
"A00066827","ONE_DAY","VA","6","16","5","RETAIL CLERK/CASHIER","3","11","2","LANDSCAPER","5","14","7","OFFICE MANAGER/ADMIN","5","14","5","SECURITY GUARD","31","45"
"A00040640","Adult- Age 22-59","V1","5","13","6","REAL ESTATE OFFICE MANAGER","5","13","4","RESIDENTIAL METER INSTALLER","6","16","8","ACCOUNTANT","1","5","5","JANITORIAL MANAGER","40","43"
"A00040461","Adult- Age 22-59","V1","5","13","4","LPN","0","NA","0","NA","6","16","7","FASHION DESIGNER","2","7","3","ASSEMBLY LINE","35","37"
"A00040104","Older Adult- Age 65-85","V1","7","18","7","K-5 TEACHER","7","18","8","TEACHER-HIGH SCHOOL","4","12","5","SECRETARY","4","12","4","MANUFACTURER","58.5","34.5"
"A00062292","ONE_DAY- Age 22-59","VA","6","16","2","CHEF","0","NA","0","NA","4","12","2","RETAIL","6","16","7","PROFESSIONAL ARTIST","28","37.5"
"A00051679","Adult- Age 22-59","V1","6","16","5","RETAIL CASHIER","0","NA","0","NA","4","12","6","OWNS CLEANERS","6","16","6","OWNS CLEANERS","43","45"
"A00065790","ONE_DAY- Age 22-59","VA","6","16","6","RESEARCH ASSISTANT","0","NA","0","NA","6","16","7","FASHION BUYER","6","16","6","JEWELRY WHOLESALER","48","50.5"
"A00056949","Adult- Age 22-59","V1","6","16","6","ASSISTANT FINANCE CASE MANAGER","0","NA","0","NA","2","8","1","HOUSEKEEPER","2","8","2","MAINTENANCE WORKER","48","18.5"
"A00040536","Older Adult- Age 65-85","V1","5","15","6","ADMINISTRATIVE ASSISTANT","4","12","3","SECURITY GUARD","0","UNKNOWN","5","CASHIER","2","8","6","COMMERCIAL PHOTOGRAPHER","36","36"
"A00028380","Older Adult- Age 60-64","V1","5","14","8","NURSE","5","14","6","COMPUTER TECHNICIAN","4","12","6","OWNED DAYCARE CENTER BUSINESS","4","12","6","OWNED DAYCARE CENTER BUSINESS","50","42"
"A00039277","ENROLLED","V1REP","6","16","6","SUBSTITUTE TEACHER","0","N/A","0","N/A","4","12","0","NA","4","12","3","TRUCK DRIVER","48","19.5"
"A00044370","Adult- Age 22-59","V1","5","14","1","HOUSEWIFE","7","21","9","MICROBIOLOGIST","6","16","6","ADMINISTRATOR","0","NA","0","NA","66","48"
"A00055352","Adult- Age 22-59","V1","7","18","7","TEACHER - SPEECH AND COMMUNICATION TO THE DEAF","7","18","5","GENERAL CONTRACTOR","4","12","3","STAMP FACTORY WORKER","5","14","7","CHIEF OF POLICE","51","38.5"
"A00037123","Adult-Age 18-21","V1","4","12","5","LIFEGUARD","0","NA","0","NA","5","14","6","DENTAL HYGIENIST","0","NA","0","NA","37","45"
"A00040091","Older Adult- Age 60-64","V1","7","20","9","MD","7","19","9","ATTORNEY","6","16","7","PRESCHOOL TEACHER","0","NA","0","NA","66","53"
"A00061787","ONE_DAY-Age 65-85","VA","5","14","5","MEDICAL CLERK","6","16","7","PHARMACEUTICAL REP- MANAGER","5","13","7","LPN","4","12","6","FIREMAN","47.5","46"
"A00028845","Older Adult- Age 65-85","V1","7","18","8","ADMINISTRATIVE SUPERVISOR IN CITY SCHOOL DISTRICT","0","NA","0","NA","2","9","5","CASHIER","2","8","4","SHIPPING CLERK ON TRUCKS","61","28.5"
"A00044369","Older Adult- Age 65-85","V1","6","16","7","DIRECTOR OF SALES","7","18","7","LCSW","4","12","6","ADMINISTRATIVE ASSISTANT","4","12","8","DISTRICT SUPERINTENDENT NY TELEPHONE COMPANY","54.5","47"
"A00044345","Adult- Age 22-59","V1","6","16","8","REGISTERED NURSE","5","13","4","AUTOMECHANIC","4","12","6","PAYROLL MANAGER","4","12","6","NYPD","46.5","42"
"A00028912","Older Adult- Age 65-85","V1","7","18","8","HIGH SCHOOL PRINCIPAL","7","18","8","TEACHER","1","6","3","SEAMSTRESS","1","6","4","CUSTOM TAILOR","61","20.5"
"A00037110","Adult- Age 22-59","V1","5","14","5","MENTAL HEALTH THERAPY AIDE","0","NA","0","NA","2","8","2","BABYSITTER","7","18","8","HIGH SCHOOL TEACHER","40","38.5"
"A00028399","Adult- Age 22-59","V1","5","14","4","MANUFACTURING MECHANIC","0","NA","0","NA","0","NA","0","NA","7","19","9","ATTORNEY","35","66"
"A00039083","Older Adult- Age 65-85","V1","6","16","7","TEACHER-ADULTS","","","","","2","8","5","SECRETARY","5","14","6","DENTAL TECHNICIAN","53","38"
"A00066389","ONE_DAY-Age 65-85","VA","6","16","6","OCCUPATIONAL THERAPIST","7","18","8","CPA, STOCKBROKER","4","12","6","MAINTENANCE SUPERVISOR","6","16","6","SHOE STORE OWNER","54.5","45"
"A00050721","Adult- Age 22-59","V1","5","15","5","MASSAGE THERAPIST","4","12","7","OWNS PORSCHE SHOP","6","16","7","REALTOR","6","16","9","EDITOR IN CHIEF NEWSPAPER","43.5","58"
"A00032875","ONE_DAY","VA-REP","7","18","7","PRESCHOOL TEACHER","0","NA","0","NA","7","18","7","PRESCHOOL TEACHER","7","18","7","ELEMENTARY SCHOOL TEACHER","56","56"
"A00060362","ENROLLED","V1","5","14","2","CONSTRUCTION LABORER","0","NA","0","NA","7","18","7","SOCIAL WORKER","4","12","4","MACHINIST","25","44"
