"","","","Writing:","Do you ever use the other hand?","Drawing:","Do you ever use the other hand?","Throwing:","Do you ever use the other hand?","Using Scissors:","Do you ever use the other hand?","Using a Toothbrush:","Do you ever use the other hand?","Using a Knife (without a fork):","Do you ever use the other hand?","Using a Spoon:","Do you ever use the other hand?","Using a Broom (upper hand):","Do you ever use the other hand?","Striking a Match:","Do you ever use the other hand?","Opening a Box (holding the lid):","Do you ever use the other hand?","Holding a Computer Mouse:","Do you ever use the other hand?","Using a Key to Unlock a Door:","Do you ever use the other hand?","Holding a Hammer:","Do you ever use the other hand?","Holding a Brush or Comb:","Do you ever use the other hand?","Holding a Cup while Drinking:","Do you ever use the other hand?","LATERALITY INDEX","DECILE"
"A00060429","Child Age 9-10","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","2","1","3","0","3","0","3","0","3","1","3","0","80","5TH RIGHT"
"A00043762","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00053627","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","1","75","4TH RIGHT"
"A00061715","ONE_DAY-Age 16-17","VA","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","1","3","1","2","1","3","0","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00058686","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00060577","Adult-Age 18-21","V1","1","0","1","0","1","0","3","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","-65","3RD LEFT"
"A00037378","Adult- Age 22-59","V1","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","60","2ND RIGHT"
"A00040117","Child- Age 6","V1","3","1","3","0","3","1","3","0","1","1","3","0","3","0","2","1","2","0","2","1","3","0","3","0","3","0","2","0","3","0","45","MIDDLE"
"A00035363","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","90","7TH RIGHT"
"A00063470","ONE_DAY-Age 65-85","VA","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","1","85","6TH RIGHT"
"A00053171","Child Age 8","V1","3","0","3","0","3","0","3","0","3","0","1","1","2","1","2","1","2","0","2","1","2","1","3","0","2","0","2","0","3","1","45","MIDDLE"
"A00057965","ENROLLED","V1","3","1","3","0","3","1","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","75","4TH RIGHT"
"A00056830","Child -Age 8","V1","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","75","4TH RIGHT"
"A00062254","ONE_DAY-Age 65-85","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00054038","Older Adult- Age 65-85","V1","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00035943","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","75","4TH RIGHT"
"A00040874","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","0","3","0","3","1","3","1","3","1","3","1","3","1","80","5TH RIGHT"
"A00054913","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00052126","Adult- Age 22-59","V1","1","1","1","0","1","0","2","1","1","0","1","0","1","0","1","0","2","0","3","1","3","0","3","1","2","1","3","1","1","1","-60","3RD LEFT"
"A00062942","ONE_DAY","VA","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","75","4TH RIGHT"
"A00040324","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00028842","Adult- Age 22-59","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00066302","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00066319","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","95","9TH RIGHT"
"A00008326","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","1","95","9TH RIGHT"
"A00053406","Child Age 6","V1","3","0","3","1","2","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00056420","Child- Ages 9-10","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","2","0","3","1","3","0","3","0","3","0","3","1","3","0","80","5TH RIGHT"
"A00031794","Older Adult- Age 60-64","V1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","1","80","5TH RIGHT"
"A00040580","Older Adult- Age 60-64","V1","3","1","3","0","3","1","3","1","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","70","3RD RIGHT"
"A00066236","ONE_DAY","VA","3","0","3","0","1","1","3","0","3","0","3","1","3","0","2","1","2","0","2","1","2","1","3","0","3","0","3","1","2","1","50","1ST RIGHT"
"A00060923","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00021039","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00028858","Older Adult- Age 65-85","V1","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","80","5TH RIGHT"
"A00039276","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","80","5TH RIGHT"
"A00064081","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","85","6TH RIGHT"
"A00035827","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00034193","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","2","1","2","1","3","0","2","1","3","0","2","1","2","1","60","2ND RIGHT"
"A00035437","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","1","2","0","75","4TH RIGHT"
"A00037118","Adult- Age 22-59","V1","3","0","3","0","3","1","3","1","3","1","3","0","3","1","1","1","3","1","2","1","3","0","1","1","3","1","3","0","3","1","50","1ST RIGHT"
"A00056703","Adolescent- Age  16-17","V1","3","0","3","0","3","0","3","1","3","1","3","0","3","1","2","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00031683","Adult- Age 22-59","V1","1","0","1","0","1","0","3","0","1","0","3","0","1","0","1","1","3","0","3","1","3","1","3","1","3","1","3","1","3","0","-20","MIDDLE"
"A00061001","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","0","3","1","90","7TH RIGHT"
"A00065478","ONE_DAY- Age 22-59","VA","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00053850","ENROLLED","V1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","3","0","1","1","1","0","1","0","1","0","-100","10TH LEFT"
"A00033747","Adult- Age 22-59","V1","3","1","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00039820","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00075920","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","2","1","100","10TH RIGHT"
"A00040382","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00056164","Older Adult- Age 60-64","V1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","65","2ND RIGHT"
"A00066460","ONE_DAY-Age 65-85","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00039635","Adult- Age 22-59","V1","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","1","1","3","1","3","1","3","0","3","0","3","1","70","3RD RIGHT"
"A00067062","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00037510","Older Adult- Age 60-64","V1","3","1","3","0","3","1","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00039391","Adult- Age 22-59","V1","3","1","3","1","3","0","3","1","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","2","1","70","3RD RIGHT"
"A00044405","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","90","7TH RIGHT"
"A00058570","Child- Ages 9-10","V1","3","1","3","1","3","1","3","1","3","1","3","0","3","0","1","1","2","0","3","0","3","1","3","0","3","0","3","1","3","0","50","1ST RIGHT"
"A00060664","Child-Age 12","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","0","95","9TH RIGHT"
"A00037848","ENROLLED","V1REP","3","0","3","0","3","0","3","0","2","1","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00056419","Child- Age 6","V1","3","0","3","1","3","1","3","0","3","0","2","0","3","0","3","0","2","0","2","0","3","0","3","0","2","0","3","1","3","1","60","2ND RIGHT"
"A00031893","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","1","3","0","1","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","65","2ND RIGHT"
"A00061790","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00060169","ENROLLED","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","2","1","95","9TH RIGHT"
"A00060630","Adult- Age 22-59","V1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","50","1ST RIGHT"
"A00044369","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00029230","Adult- Age 22-59","V1","3","0","3","0","2","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","0","3","0","3","0","3","0","75","4TH RIGHT"
"A00056307","Child -Age 8","V1","3","0","3","1","3","1","2","1","2","1","3","0","2","1","1","1","3","1","2","1","3","0","3","1","2","1","2","1","3","0","30","MIDDLE"
"A00039965","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00028468","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00038731","Adult-Age 18-21","V1","3","0","3","0","3","1","3","1","2","1","2","1","3","0","2","1","3","0","2","1","3","1","1","1","3","0","1","1","2","1","50","1ST RIGHT"
"A00060481","Child Age 6","V1","3","1","3","1","1","1","3","1","1","1","1","0","3","0","3","0","3","0","2","1","2","1","3","1","2","1","2","1","3","0","25","MIDDLE"
"A00060602","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00040494","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00035798","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","2","1","90","7TH RIGHT"
"A00060258","Child Age 9-10","V1","3","0","3","1","3","0","3","1","3","0","2","1","3","0","1","1","3","0","1","1","3","0","3","0","2","1","3","1","3","1","50","1ST RIGHT"
"A00050795","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","0","3","1","2","1","80","5TH RIGHT"
"A00057444","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00059935","Child - Age 15","V1","3","0","3","0","3","1","3","1","3","1","3","0","3","1","2","1","3","0","2","1","3","0","3","1","3","1","3","1","2","1","60","2ND RIGHT"
"A00056628","Child- Age 13","V1","3","1","3","1","3","1","3","0","3","0","3","0","3","0","2","1","3","0","2","1","3","0","1","0","3","0","2","1","3","1","65","2ND RIGHT"
"A00062983","ONE_DAY-Age 16-17","VA","3","0","3","0","3","1","3","0","3","1","3","1","3","1","2","1","3","0","3","0","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00039432","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00061600","ONE_DAY-Age 65-85","VA","3","0","3","0","3","1","2","1","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","1","2","1","70","3RD RIGHT"
"A00053851","ENROLLED","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","2","1","3","0","3","0","3","1","85","6TH RIGHT"
"A00056489","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00053473","ENROLLED","V1","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","1","1","55","1ST RIGHT"
"A00028606","Adult- Age 22-59","V1","3","0","3","0","3","1","2","1","3","1","3","1","3","1","3","1","3","1","1","1","3","0","3","1","3","1","3","1","3","1","45","MIDDLE"
"A00061485","ONE_DAY-Age 60-64","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","2","1","95","9TH RIGHT"
"A00033714","Adolescent- Age  16-17","V1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","55","1ST RIGHT"
"A00060093","ENROLLED","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00076589","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00062809","ONE_DAY-Age 15","VA","3","0","3","0","2","1","3","1","3","1","3","1","2","1","2","1","2","1","2","1","3","0","3","1","3","0","3","1","3","1","35","MIDDLE"
"A00028177","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","0","3","0","3","0","1","1","85","6TH RIGHT"
"A00058131","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","80","5TH RIGHT"
"A00073677","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00037783","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","0","1","1","3","1","3","1","3","1","3","1","3","1","65","2ND RIGHT"
"A00055061","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","70","3RD RIGHT"
"A00061656","ONE_DAY-Age 65-85","VA","1","0","1","0","1","0","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","-80","5TH LEFT"
