"","","","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","FINANCIAL SUBSCALE (RISK TAKING)","ETHICAL SUBSCALE (RISK TAKING)","HEALTH/SAFETY SUBSCALE (RISK TAKING)","RECREATIONAL SUBSCALE (RISK TAKING)","SOCIAL SUBSCALE(RISK TAKING)","RISK TAKING OVERALL SCALE SCORE","ETHICAL SUBSCALE (RISK PERCEPTION)","FINANCIAL SUBSCALE (RISK PERCEPTION)","HEALTH/SAFETY SUBSCALE (RISK PERCEPTION)","RECREATIONAL SUBSCALE(RISK PERCEPTION)","SOCIAL SUBSCALE (RISK PERCEPTION)","OVERALL SCALE TOTAL SCORE RISK PERCEPTION","ETHICAL SUBSCALE (EXPECTED BENEFITS)","FINANCIAL SUBSCALE (EXPECTED BENEFITS)","HEALTH/SAFETY SUBSCALE (EXPECTED BENEFITS)","RECREATIONAL SUBSCALE (EXPECTED BENEFITS)","SOCIAL SUBSCALE (EXPECTED BENEFITS)","OVERALL SCALE TOTAL (EXPECTED BENEFITS)"
"A00040757","Adult- Age 22-59","V2","5","5","1","4","1","1","1","1","1","1","4","4","7","1","1","1","1","6","5","1","7","7","1","1","6","1","6","7","1","1","1","2","7","4","7","7","7","7","7","7","6","3","2","7","7","7","7","4","4","7","2","2","7","7","2","7","1","4","7","7","4","1","1","6","1","1","1","1","1","1","4","4","7","1","1","1","1","5","5","1","7","4","1","1","5","1","4","4","1","1","17","6","6","28","33","90","42","32","42","23","17","156","6","18","6","23","24","77"
"A00028842","Adult- Age 22-59","V2","2","4","1","7","1","6","5","1","1","1","1","1","4","1","1","3","1","1","1","5","7","1","1","1","4","1","5","5","1","6","1","1","7","1","7","7","1","7","7","7","7","7","5","7","7","4","7","7","5","6","4","4","7","6","4","7","4","4","7","2","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","4","1","1","4","1","4","12","18","10","15","25","80","34","36","41","28","18","157","9","6","6","12","12","45"
"A00060629","ONE_DAY- Age 18-21","VA","4","5","4","4","5","1","1","7","5","7","4","4","4","4","7","1","4","4","2","6","6","6","6","1","1","1","1","1","1","1","1","1","1","2","3","3","1","3","5","5","2","2","3","5","7","1","3","4","2","4","5","2","4","2","2","3","1","3","6","7","7","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","27","16","29","17","19","108","27","17","24","12","13","93","24","24","24","24","27","123"
"A00065302","ONE_DAY-Age 65-85","VA","7","6","1","1","1","1","7","1","1","1","1","1","4","1","1","1","1","1","1","1","4","7","5","1","1","2","2","4","1","1","1","2","7","7","7","7","2","7","7","6","7","7","5","7","7","6","6","7","5","7","4","2","5","6","4","5","5","2","6","2","7","6","1","1","1","1","6","1","1","2","1","1","2","1","1","2","2","1","2","1","5","6","1","2","2","2","2","5","2","5","6","6","11","14","31","68","34","42","37","29","16","158","13","6","8","15","31","73"
"A00044131","Adult- Age 22-59","V2","7","7","2","1","6","1","4","1","1","1","5","2","5","2","4","2","1","1","2","1","6","4","5","3","2","3","4","5","1","1","1","3","5","7","2","5","3","7","7","4","4","7","5","5","3","4","5","7","5","7","3","3","3","5","6","4","2","2","6","5","5","7","3","2","4","1","4","3","1","2","4","1","2","4","1","1","1","2","3","1","6","3","2","2","2","1","5","4","1","4","9","7","20","24","30","90","31","38","24","28","14","135","10","15","10","20","27","82"
"A00062248","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00037588","Adult- Age 22-59","V2","2","1","3","1","3","3","6","4","3","1","1","6","5","5","1","1","1","7","6","1","6","7","6","1","6","5","6","1","1","5","1","4","5","4","5","4","1","4","6","7","7","7","6","7","7","6","6","5","5","6","5","5","6","6","6","6","1","3","7","1","2","4","6","6","2","2","4","6","1","1","1","5","4","4","1","1","1","5","3","1","5","5","1","1","3","2","4","6","1","5","26","14","17","20","28","105","31","32","36","34","16","149","11","32","8","16","26","93"
"A00039143","Adult- Age 22-59","V2","7","7","1","1","5","1","6","1","1","1","3","1","5","1","3","1","2","1","5","1","3","6","1","3","1","3","2","4","1","3","1","2","7","7","2","7","2","7","7","7","5","7","5","7","7","4","6","7","5","7","5","5","3","6","6","6","4","5","7","2","1","1","3","4","1","6","1","5","1","6","1","4","1","6","1","1","1","6","1","1","7","1","1","1","4","1","4","4","1","3","6","8","15","24","28","81","34","42","31","29","22","158","18","28","6","9","18","79"
"A00072203","ONE_DAY","VA","4","5","6","6","5","4","3","5","1","2","1","6","5","5","7","2","2","7","1","2","6","3","1","1","1","2","2","5","4","6","3","4","4","4","4","4","4","4","7","6","7","4","4","4","7","6","6","4","4","4","5","4","7","7","6","7","4","4","7","4","4","2","4","4","1","1","3","4","1","1","1","4","1","2","4","1","1","4","1","1","4","4","1","1","1","1","1","4","1","1","35","19","19","14","23","110","34","24","35","32","24","149","6","22","9","7","20","64"
"A00037445","Adult- Age 22-59","V2","7","1","1","4","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","6","4","1","1","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","5","7","7","7","7","5","5","6","7","7","7","5","3","7","3","1","1","3","2","1","1","3","2","1","1","1","2","1","1","1","1","1","2","1","1","3","3","1","1","1","1","3","3","1","1","9","6","6","6","26","53","36","42","41","42","26","187","6","12","6","6","16","46"
"A00058317","Older Adult- Age 65-85","V2","7","1","5","7","1","5","7","5","1","1","1","1","1","5","1","1","1","5","7","1","7","7","1","1","6","3","1","6","1","1","1","1","2","4","7","5","5","7","7","7","7","5","7","5","7","7","7","5","1","7","5","2","7","7","5","5","1","2","7","3","4","4","5","7","1","4","4","4","1","1","1","3","1","4","1","1","1","4","7","1","5","4","1","1","4","1","3","6","1","3","28","10","8","17","35","98","36","28","40","28","16","148","11","27","6","18","26","88"
"A00039331","Adult- Age 22-59","V2","7","4","1","5","1","4","6","1","1","1","1","1","1","2","1","2","1","2","1","1","6","7","7","1","1","2","5","6","1","1","1","6","6","3","7","6","1","3","7","7","7","6","7","6","7","7","5","4","6","6","3","2","5","7","7","6","3","4","6","2","6","5","4","4","1","2","6","4","1","1","1","4","1","4","1","2","1","4","1","2","6","6","4","1","4","4","4","4","4","2","12","10","13","9","37","81","35","28","36","40","14","153","12","24","13","13","32","94"
"A00040640","Adult- Age 22-59","V2","7","7","1","2","3","1","2","1","1","1","5","1","7","1","7","5","6","7","7","5","5","6","6","7","7","7","6","6","4","3","1","4","7","5","7","7","6","7","7","7","6","7","4","7","4","5","6","6","6","6","5","5","4","5","4","3","4","3","5","2","5","4","1","3","2","2","2","3","2","3","4","2","5","2","4","2","2","5","5","2","6","4","2","4","5","2","4","4","4","3","13","15","34","40","32","134","33","39","30","29","24","155","16","16","14","27","25","98"
"A00035879","Adult- Age 22-59","V2","3","6","2","5","6","4","3","3","1","1","3","5","6","5","5","1","2","6","6","1","5","5","2","3","2","5","2","6","1","1","1","1","6","1","5","7","2","6","7","7","7","5","5","5","7","7","7","5","5","7","5","4","3","6","6","5","3","1","6","5","1","4","1","4","3","2","4","1","1","1","1","4","3","1","1","1","1","4","1","1","4","4","3","1","1","1","2","4","1","1","26","9","21","26","24","106","39","28","34","30","16","147","7","15","10","11","19","62"
"A00059663","Older Adult- Age 65-85","V2","6","1","1","4","1","4","4","1","4","1","1","1","2","1","1","1","1","1","1","1","3","4","5","1","1","3","4","4","1","1","1","5","7","7","7","2","1","7","3","7","7","6","6","7","7","6","5","7","6","5","3","3","5","6","5","4","5","4","6","4","4","2","5","5","1","4","5","4","4","1","2","3","3","4","1","1","2","4","2","2","4","4","3","2","2","3","4","4","2","1","9","12","12","7","25","65","28","41","33","35","17","154","13","25","12","13","25","88"
"A00028784","Adult- Age 22-59","V2","1","4","4","7","3","5","7","3","7","3","1","6","3","3","5","3","4","4","4","1","6","7","5","6","1","4","7","5","5","7","1","2","3","1","6","4","4","6","1","5","7","4","3","6","6","2","2","7","7","7","2","2","2","4","7","2","1","1","3","1","1","2","4","6","1","4","1","5","6","4","1","6","3","5","6","2","1","5","1","1","7","7","3","4","1","1","7","7","2","4","27","30","22","19","33","131","16","27","25","30","11","109","22","31","13","12","30","108"
"A00064323","ONE_DAY-Age 65-85","VA","7","6","1","6","1","2","7","1","1","1","2","1","6","1","6","1","1","2","5","1","6","6","5","2","7","5","3","6","1","1","5","4","7","6","7","4","2","7","6","6","6","7","3","6","4","6","6","6","6","7","4","4","2","6","2","6","3","2","7","4","5","6","1","2","1","4","5","1","1","2","2","2","6","2","5","1","1","5","5","1","6","5","4","2","6","1","5","6","1","2","12","7","19","28","35","101","33","39","32","27","20","151","11","13","13","27","32","96"
"A00039463","Adult- Age 22-59","V2","4","3","1","2","3","2","2","1","1","1","1","2","5","1","3","2","1","1","7","1","6","4","6","7","1","3","1","4","1","2","1","2","6","5","6","6","3","6","6","6","6","4","5","5","6","6","6","6","3","7","4","4","4","5","7","5","5","5","7","5","4","4","2","2","3","2","2","3","1","2","2","3","4","2","2","1","1","3","4","1","5","2","2","3","1","2","1","4","1","2","8","9","17","24","21","79","36","32","34","28","22","152","9","15","11","18","18","71"
"A00035960","Adult-Age 18-21","V2","7","5","1","6","6","6","7","1","1","1","3","3","7","1","1","1","1","5","7","1","5","7","2","6","1","5","7","1","6","1","1","2","7","2","4","5","6","7","7","6","4","5","5","7","7","7","6","6","7","7","5","6","5","6","4","6","3","4","4","1","4","2","7","7","4","4","6","5","1","1","1","3","7","4","1","1","1","7","7","1","7","7","1","6","5","1","7","3","7","3","17","16","16","29","34","112","30","34","35","28","25","152","17","33","9","28","34","121"
"A00027651","Older Adult- Age 65-85","V2","5","2","1","5","1","1","5","1","1","1","1","2","2","1","1","2","1","2","1","1","3","4","1","1","1","2","4","5","1","1","1","3","6","4","6","4","4","6","7","5","7","5","5","6","6","4","3","3","6","7","3","3","4","7","6","4","2","2","6","4","5","2","1","4","1","2","5","1","1","3","1","2","2","1","1","3","1","3","2","1","4","3","1","1","2","2","2","5","1","2","12","7","7","8","26","60","30","30","30","34","15","139","12","12","7","10","24","65"
"A00035840","Adult- Age 22-59","V2","6","5","1","1","3","1","2","1","1","1","1","1","6","1","1","5","1","1","2","1","6","2","3","2","4","1","2","6","2","1","1","1","6","6","2","7","3","7","6","6","2","4","2","7","7","2","5","6","7","6","2","1","3","7","6","6","1","3","4","1","3","4","2","5","1","1","4","6","1","1","4","6","6","7","1","1","1","4","4","1","7","4","1","4","4","1","4","7","1","2","6","11","10","20","24","71","26","36","29","25","11","127","7","30","6","26","29","98"
"A00033832","Adult- Age 22-59","V2","5","2","1","1","1","1","3","1","4","1","1","3","1","1","1","4","1","2","1","1","4","3","4","1","6","5","7","7","1","1","3","6","7","5","4","7","2","7","2","6","7","3","7","7","7","2","7","3","7","7","2","4","5","7","5","5","4","4","7","2","6","3","5","7","1","3","6","7","3","5","2","7","3","7","3","2","1","7","3","1","7","5","1","1","4","4","4","7","1","4","9","12","13","12","29","75","26","32","35","39","19","151","18","40","11","16","35","120"
"A00054534","Adult-Age 18-21","V2","7","5","1","1","2","1","2","1","1","1","5","1","7","1","1","2","1","2","7","1","7","6","7","7","3","5","7","4","1","2","5","5","7","5","7","7","4","7","7","7","7","7","5","7","6","3","7","5","5","7","5","5","5","5","6","7","4","2","6","1","4","2","1","1","1","2","2","1","1","3","4","1","5","2","1","2","1","6","7","1","7","4","7","5","6","1","6","6","2","7","7","8","17","34","33","99","31","38","39","33","25","166","17","12","12","29","29","99"
"A00060170","Older Adult- Age 65-85","V2","6","6","3","6","2","5","6","2","5","3","2","5","4","1","5","2","3","5","4","2","7","6","5","2","6","1","5","7","3","2","2","4","7","5","2","3","5","7","5","4","4","4","4","7","3","5","4","6","4","6","3","3","3","5","2","6","2","2","4","1","4","4","5","5","2","3","5","4","5","3","4","5","4","3","2","2","3","6","4","3","7","5","3","3","5","2","5","7","2","2","22","20","18","24","37","121","22","36","24","23","17","122","17","28","15","24","33","117"
"A00035606","Adult- Age 22-59","V2","7","1","1","6","1","4","4","1","6","2","1","4","1","1","2","6","7","1","1","2","4","5","5","1","2","3","1","7","4","5","1","5","7","2","7","4","4","7","5","3","7","4","7","7","4","3","1","7","7","4","3","4","5","7","5","4","7","3","4","4","1","1","1","4","1","3","3","1","4","5","1","3","1","1","4","5","6","1","1","5","4","4","4","1","2","4","1","4","4","5","14","27","20","7","28","96","23","34","25","38","22","142","26","11","24","7","17","85"
"A00055806","Adult- Age 22-59","V2","6","5","1","6","3","2","5","1","1","2","1","2","2","1","2","2","1","6","1","1","4","5","2","1","1","2","6","6","1","4","1","4","6","2","6","6","5","6","6","4","7","6","5","5","7","6","7","5","5","7","6","4","4","7","5","6","1","2","6","3","2","2","1","7","1","3","3","3","2","2","1","2","2","4","2","1","1","5","1","1","5","2","1","1","1","1","4","4","1","3","17","12","11","11","32","83","31","30","37","33","19","150","12","22","7","8","20","69"
"A00038520","Older Adult- Age 60-64","V2","6","1","1","1","1","1","5","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","3","4","7","7","6","5","5","7","7","6","7","7","5","7","7","5","7","7","7","7","6","5","6","7","7","6","5","5","6","2","4","4","2","4","1","3","5","1","2","3","1","1","4","1","4","2","1","1","4","1","4","4","1","4","4","1","1","5","1","3","6","6","6","7","18","43","31","42","39","37","29","178","14","10","9","21","23","77"
"A00054913","Older Adult- Age 65-85","V2","7","1","1","4","1","1","4","1","1","1","1","1","1","1","1","1","2","1","2","1","3","2","1","1","1","1","1","7","1","1","4","6","7","5","7","5","5","6","7","7","7","6","6","5","7","6","6","7","4","7","5","3","6","7","4","6","4","3","6","5","4","1","3","3","1","2","3","1","1","1","1","1","1","1","1","1","1","1","4","1","4","4","1","1","4","1","3","4","1","2","9","6","7","7","24","53","36","36","39","34","24","169","8","10","6","12","22","58"
"A00039118","Adult- Age 22-59","V2","6","7","1","1","1","1","1","1","4","1","1","1","1","1","7","1","1","1","1","1","7","1","2","1","1","1","1","4","1","1","1","1","7","7","7","7","7","7","6","7","7","7","7","7","7","7","7","7","7","7","5","5","6","7","6","7","7","5","7","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","4","1","1","2","2","1","1","2","1","1","6","9","13","12","20","60","41","42","41","35","30","189","6","6","6","15","10","43"
"A00066091","ONE_DAY","VA","7","7","7","7","5","2","4","7","6","2","5","7","7","7","6","1","1","6","4","4","7","5","7","5","6","7","7","5","1","7","1","1","3","2","3","3","2","3","3","7","5","3","2","1","3","2","7","4","1","4","4","5","3","1","3","6","1","6","4","1","4","4","7","3","3","2","3","7","4","3","1","7","4","7","3","1","1","5","3","1","7","4","4","1","4","1","4","5","1","4","41","19","30","34","35","159","20","16","26","13","19","94","15","36","13","17","27","108"
