"","","","I am not a worrier","I like to have a lot of people around me.","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop.","I try to be courteous to everyone I meet.","I keep my belongings neat and clean.","At times I have felt bitter and resentful.","I laugh easily.","I think it's interesting to learn and develop new hobbies.","At times I bully or flatter people into doing what I want them to.","I'm pretty good about pacing myself so as to get things done on time.","When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","I prefer jobs that let me work alone without being bothered by other people.","I am intrigued by the patterns I find in art and nature.","Some people think I'm selfish and egotistical.","I often come into situations without being fully prepared.","I rarely feel lonely or blue.","I really enjoy talking to people.","I believe letting students hear controversial speakers can only confuse and mislead them.","If someone starts a fight, I'm ready to fight back.","I try to perform all the tasks assigned to me conscientiously.","I often feel tense and jittery.","I like to be where the action is.","Poetry has little or no effect on me.","I'm better than most people, and I know it.","I have a clear set of goals and work toward them in an orderly fashion.","Sometimes I feel completely worthless.","I shy away from crowds of people.","I would have difficulty just letting my mind wander without control or guidance.","When I've been insulted, I just try to forgive and forget.","I waste a lot of time before settling down to work.","I rarely feel fearful or anxious.","I often feel as if I'm bursting with energy.","I seldom notice the moods or feelings that different environments produce.","I tend to assume the best about people.","I work hard to accomplish my goals.","I often get angry at the way people treat me.","I am a cheerful, high-spirited person.","I experience a wide range of emotions or feelings.","Some people think of me as cold and calculating.","When I make a commitment, I can always be counted on to follow through.","Too often, when things go wrong, I get discouraged and feel like giving up.","I don't get much pleasure from chatting with people.","Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement.","I have no sympathy for beggars.","Sometimes I'm not as dependable or reliable as I should be.","I am seldom sad or depressed.","My life is fast-paced.","I have little interest in speculating on the nature of the universe or the human condition.","I generally try to be thoughtful and considerate.","I am a productive person who always gets the job done.","I often feel helpless and want someone else to solve my problems.","I am a very active person.","I have a lot of intellectual curiosity.","If I don't like people, I let them know it.","I never seem to be able to get organized.","At times I have been so ashamed I just wanted to hide.","I would rather go my own way than be a leader of others.","I often enjoy playing with theories or abstract ideas.","If necessary, I am willing to manipulate people to get what I want.","I strive for excellence in everything I do.","N Total","E TOTAL","O TOTAL","A TOTAL","C TOTAL","SEX","Age","N T-score","E T-score","O T- Score","A T-Score","C T-Score"
"A00061790","ONE_DAY- Age 22-59","VA","2","2","1","3","1","2","4","3","3","1","2","3","1","4","2","2","3","3","1","3","1","3","2","3","1","2","3","3","1","2","1","2","3","2","2","2","2","2","4","2","1","4","0","2","1","2","2","2","2","2","0","3","2","1","1","0","3","2","4","2","17","34","24","30","20","2","49","43","58","41","44","30"
"A00039966","Older Adult- Age 65-85","V1","2","2","3","3","3","1","2","3","4","3","1","2","2","4","3","2","3","3","1","3","1","2","2","2","3","1","2","3","3","3","2","2","3","3","3","0","2","3","3","3","1","4","3","4","3","2","1","3","4","3","1","2","3","2","3","1","2","3","4","2","15","26","34","37","35","2","69","41","45","58","56","53"
"A00008326","Adult- Age 22-59","V1","2","3","2","4","4","3","4","4","2","3","3","2","2","3","3","2","4","4","2","3","1","2","2","3","3","2","2","3","2","4","2","2","3","3","3","1","3","3","4","3","2","3","2","4","1","2","3","4","3","3","1","3","4","1","4","0","1","3","1","3","21","32","36","32","37","2","59","48","55","61","47","56"
"A00073942","ENROLLED","VA_ALG","1","3","3","3","3","3","3","3","4","4","1","2","2","4","2","1","4","4","4","2","1","3","3","3","3","1","3","3","3","3","3","1","2","3","4","1","4","2","4","4","2","3","3","3","3","4","2","2","4","3","1","4","3","3","4","0","2","2","3","1","19","34","32","41","36","2","62","46","58","54","63","55"
"A00065478","ONE_DAY- Age 22-59","VA","2","2","1","3","2","3","3","3","3","3","3","1","3","3","2","2","3","3","3","3","1","1","2","3","3","1","3","3","3","3","2","1","3","3","3","1","3","3","3","3","1","3","3","2","3","2","3","3","3","3","1","2","3","1","2","1","3","3","3","2","20","28","33","33","32","2","54","47","48","56","49","49"
"A00066232","ONE_DAY- Age 22-59","VA","0","2","1","4","1","1","3","4","3","3","1","2","3","3","3","1","3","3","2","3","1","2","0","3","3","1","3","2","3","3","3","1","3","3","4","1","3","3","3","4","1","3","0","1","3","4","2","3","4","3","0","4","3","2","1","0","0","3","3","3","14","28","28","34","34","1","23","43","51","51","57","53"
"A00064505","ONE_DAY-AGE 15","VA","1","3","3","4","2","3","3","4","4","3","2","3","3","3","1","2","4","3","1","3","1","3","2","3","4","2","3","2","2","2","1","2","0","2","3","1","3","3","3","3","2","4","3","2","1","3","2","3","3","2","1","3","3","2","1","1","4","3","2","3","20","37","32","31","28","1","15","51","66","57","52","43"
"A00051023","Adult- Age 22-59","V1","2","2","0","4","4","2","2","4","3","3","1","2","3","4","3","1","3","2","2","3","1","2","3","3","2","1","3","2","3","3","2","2","2","2","3","2","3","3","1","3","1","3","2","3","3","1","3","2","3","3","1","2","3","3","3","2","2","1","3","1","17","29","27","34","34","2","54","43","50","46","51","52"
"A00035940","Adolescent- Age  16-17","V1","3","3","3","4","2","1","3","2","4","2","0","1","1","3","3","1","3","2","2","3","1","2","1","2","2","0","3","2","3","1","1","1","1","2","3","0","3","2","2","2","2","3","1","2","2","1","1","2","3","2","2","1","3","4","1","2","2","3","3","3","14","26","23","34","26","1","16","43","48","43","57","40"
"A00056372","Older Adult- Age 65-85","V1","3","1","0","4","4","3","4","4","4","2","1","2","4","4","4","0","4","4","3","3","2","0","4","4","3","1","0","4","1","4","4","1","4","2","4","1","2","3","4","4","1","4","3","3","4","1","2","4","4","3","0","4","4","4","4","0","3","1","4","1","17","27","39","41","40","2","68","43","47","66","63","61"
"A00061281","ONE_DAY-Age 65-85","VA","1","2","2","3","1","0","3","4","2","3","1","3","3","2","3","1","3","4","1","4","1","3","0","2","3","0","2","4","1","3","1","3","3","3","4","0","3","2","4","4","1","4","1","1","3","0","3","4","3","4","0","3","4","3","4","0","2","4","2","4","6","34","35","27","40","1","66","32","61","62","45","63"
"A00055215","Adult- Age 22-59","V1","0","4","4","4","0","4","4","2","4","4","3","2","2","3","1","2","3","0","3","3","1","3","4","4","1","2","2","2","3","0","4","3","1","2","3","1","2","3","4","2","4","3","2","4","1","3","2","4","3","1","1","2","0","4","1","4","3","3","4","3","29","33","27","42","20","2","22","59","56","46","65","30"
"A00055906","Child - Age 15","V1","1","3","3","3","2","3","3","3","3","1","1","1","3","3","2","0","4","3","1","3","1","3","2","1","2","0","3","3","2","1","1","1","2","3","4","1","3","3","3","3","1","3","2","3","2","1","2","3","3","3","1","2","3","3","3","1","2","3","3","3","12","30","33","31","29","1","15","40","55","59","52","45"
"A00037768","Adult- Age 22-59","V1","1","2","1","3","3","1","3","3","3","3","0","3","2","3","3","1","4","3","3","3","0","2","1","3","3","1","3","1","2","2","1","2","3","3","3","1","4","1","3","3","0","4","1","3","2","1","3","1","3","2","0","3","3","2","3","1","3","3","4","3","8","36","23","35","33","2","41","32","61","40","52","50"
"A00073296","ONE_DAY-Age 65-85","VA","1","2","1","4","3","3","1","4","4","3","2","2","3","4","3","3","4","3","1","4","1","2","3","3","4","2","2","4","1","1","3","3","3","2","4","3","2","3","4","4","2","3","2","2","4","2","1","0","4","3","1","1","4","4","4","2","2","3","3","3","25","25","33","36","40","2","74","54","44","56","54","61"
"A00031625","Adult- Age 22-59","V1","3","1","3","3","3","3","2","4","4","3","1","3","3","3","3","2","2","4","3","3","1","1","1","3","3","3","2","3","3","3","2","2","3","2","3","1","2","3","3","3","1","3","1","3","3","2","3","4","3","3","0","3","3","3","3","1","2","2","4","3","20","26","34","37","36","2","30","47","45","58","56","55"
"A00050742","Adult- Age 22-59","V1","4","1","3","4","3","3","2","3","3","3","2","1","2","3","3","3","3","3","4","3","4","1","3","3","2","3","1","2","3","1","4","1","4","3","3","1","1","3","4","4","1","4","3","4","4","3","2","4","4","3","1","3","4","4","1","4","1","1","2","3","33","21","35","41","33","2","53","64","37","59","63","50"
"A00050848","Child Age 16-17","V1","0","2","0","4","2","0","4","4","4","2","0","3","2","2","1","0","4","3","1","3","0","3","1","3","3","0","4","4","4","0","0","1","0","4","4","0","4","0","4","3","1","4","2","4","4","4","3","4","4","2","0","4","4","3","1","0","4","4","2","4","5","40","28","39","29","1","16","30","71","51","66","45"
"A00055352","Adult- Age 22-59","V1","0","2","1","3","3","2","2","3","4","3","1","1","2","4","3","0","2","3","1","4","0","2","3","2","3","0","3","3","1","3","0","2","0","4","3","0","3","2","4","4","0","3","1","3","4","0","4","3","4","3","0","3","3","3","3","0","2","1","4","2","3","29","25","37","38","2","59","26","50","43","56","58"
"A00058537","Child Age 14","V1","3","1","0","2","1","0","3","0","4","2","0","1","1","2","3","2","1","2","1","1","0","0","0","2","1","0","3","4","1","2","1","1","1","1","1","2","2","2","4","1","1","2","0","3","1","1","0","3","2","1","2","0","2","1","2","0","1","3","1","1","12","15","18","24","17","1","14","40","30","35","39","25"
"A00043803","ENROLLED","V1","4","0","3","3","4","4","0","4","4","4","0","0","0","4","4","4","4","4","0","4","0","4","0","0","2","0","4","4","0","4","0","1","2","0","4","4","0","1","0","4","0","3","0","3","4","4","2","4","2","1","4","4","2","1","4","0","4","1","3","1","24","26","25","20","40","1","38","57","48","46","32","63"
"A00039393","Adult- Age 22-59","V1","4","3","4","4","4","1","3","4","4","1","4","3","4","4","3","1","4","3","3","4","1","1","3","4","3","1","3","3","3","3","3","1","3","4","4","3","3","3","4","3","3","4","3","3","1","3","3","3","4","3","2","1","4","3","3","1","3","3","3","3","27","32","40","43","35","2","49","56","55","67","66","53"
"A00033962","Older Adult- Age 65-85","V1","1","3","0","3","2","2","2","4","3","3","2","3","4","4","3","3","2","1","2","4","1","0","3","3","2","0","2","3","1","3","3","2","1","1","3","3","2","2","3","4","1","3","2","3","3","1","3","1","3","3","0","2","2","1","3","1","3","1","3","4","18","27","24","30","37","1","65","48","50","45","50","58"
"A00030980","Child- Age 13","V1","2","3","2","3","2","3","4","2","4","2","2","2","2","4","2","0","4","3","2","3","2","3","3","3","2","2","3","2","2","2","2","2","2","2","4","2","2","4","4","2","2","4","4","0","2","3","2","3","3","2","2","2","2","0","2","1","0","2","3","1","23","31","31","30","26","2","13","51","53","53","44","40"
"A00051727","Child Age 15","V1","2","2","1","2","2","3","3","3","3","2","3","3","1","3","2","3","2","3","1","3","1","2","0","3","2","1","3","2","1","1","1","1","2","1","2","1","2","4","4","4","2","2","0","4","2","3","1","2","4","2","2","0","2","0","4","3","2","1","2","1","25","23","21","28","27","2","15","54","40","37","40","41"
"A00035827","ENROLLED","V1REP","3","3","1","3","3","3","1","3","3","3","3","1","1","3","3","1","3","3","3","3","1","1","1","3","1","3","3","3","1","3","3","1","3","3","1","1","1","3","3","3","3","3","3","1","3","1","1","3","3","3","1","3","1","3","3","1","3","1","3","3","24","24","26","32","32","1","38","57","45","48","54","50"
"A00039669","Older Adult- Age 60-64","V1","4","1","0","4","4","2","3","4","4","3","1","1","1","0","3","3","3","3","2","3","0","2","3","4","3","1","1","3","3","3","1","1","2","1","4","3","3","1","3","4","1","2","1","2","4","1","1","1","3","3","1","2","3","3","4","1","1","1","3","2","19","21","23","32","40","2","61","46","37","40","47","61"
"A00038522","Adult- Age 22-59","V1","3","2","3","3","4","3","2","3","2","1","2","0","3","4","1","3","2","3","2","3","2","2","3","4","2","3","1","1","3","1","3","2","2","3","2","3","2","4","3","2","2","3","3","1","2","2","2","1","3","2","3","2","3","3","4","1","0","2","1","3","30","20","31","32","27","1","25","65","38","56","54","41"
"A00032875","ONE_DAY","VA-REP","4","2","3","4","4","4","4","3","3","1","4","2","2","4","0","3","4","3","0","4","3","4","4","0","3","4","4","1","2","2","4","4","0","4","3","4","4","4","3","4","3","4","4","3","4","3","2","3","4","4","2","3","4","0","0","4","2","3","3","4","42","39","34","30","33","2","40","75","66","58","44","50"
"A00038115","Adult- Age 22-59","V1","4","2","3","3","2","2","4","3","2","3","1","0","1","2","3","3","3","4","2","3","1","3","2","2","3","1","3","3","2","1","3","3","3","3","3","2","4","4","3","3","1","3","2","3","1","2","3","4","4","3","1","3","4","1","2","3","1","1","2","3","24","32","34","29","30","2","38","52","55","58","42","46"
"A00050743","Child Age 15","V1","1","2","3","3","2","2","3","3","3","2","1","2","2","3","2","1","3","3","1","3","1","2","4","3","3","0","3","2","2","2","1","2","3","2","3","3","2","2","3","3","1","3","3","3","2","1","2","3","3","3","1","2","2","2","3","1","2","2","2","3","14","28","32","30","31","2","15","40","48","54","44","47"
"A00061725","ONE_DAY-Age 65-85","VA","3","1","1","3","3","3","3","3","3","3","1","2","3","3","2","1","4","3","2","3","1","3","2","2","2","1","3","3","2","1","1","2","3","3","2","1","3","1","2","3","1","4","2","3","3","1","2","3","3","3","1","3","3","3","2","0","3","2","2","3","15","33","29","31","30","2","74","41","56","50","45","46"
"A00040517","Older Adult- Age 60-64","V1","3","1","3","3","0","4","1","3","3","1","3","1","3","3","2","4","1","4","1","3","1","3","1","2","1","4","3","3","0","1","3","1","3","3","1","3","1","2","3","3","4","2","1","3","1","4","1","3","3","1","3","1","3","3","1","3","1","3","3","2","39","17","32","30","17","1","61","75","33","57","50","25"
"A00052117","Adult- Age 22-59","V1","4","1","2","3","3","3","1","3","3","1","4","2","3","3","3","4","3","3","2","4","3","1","2","4","2","4","2","3","3","2","4","0","3","3","4","3","0","4","3","3","4","2","2","4","1","4","3","4","3","3","1","1","4","3","2","3","3","2","3","4","41","19","35","37","32","2","42","74","34","59","56","49"
"A00040990","Adult- Age 22-59","V1","4","1","2","4","2","4","2","2","2","0","4","0","4","2","2","4","2","2","4","2","4","1","4","2","2","2","2","1","2","2","4","0","4","2","3","3","1","4","3","0","4","0","2","3","0","4","2","2","2","2","3","0","3","3","0","3","1","3","2","2","43","12","33","31","17","2","42","75","25","56","45","26"
"A00054857","ENROLLED","V1","0","1","1","2","3","1","4","3","4","3","0","3","4","3","4","0","3","2","4","3","0","1","4","3","3","1","2","3","4","3","1","3","2","3","3","0","4","3","3","3","1","3","3","2","1","0","3","1","4","3","1","3","4","4","4","3","0","3","3","2","8","30","33","39","35","2","39","32","52","56","59","53"
"A00060480","ENROLLED","V1","2","3","3","4","3","4","3","3","3","1","1","3","3","3","4","1","4","3","1","3","1","3","1","2","3","1","3","3","1","1","1","1","3","3","3","1","3","3","3","4","1","4","1","1","3","1","3","4","4","3","1","3","4","1","2","1","2","3","3","3","16","35","34","29","33","1","32","46","63","61","48","51"
"A00073230","ENROLLED","VA_ALG","0","4","3","4","2","3","3","4","3","2","3","3","3","3","3","1","4","3","1","4","1","3","3","3","2","2","3","3","2","3","0","2","3","4","3","2","3","3","3","4","1","4","3","4","3","1","2","3","4","2","1","1","3","3","2","1","3","2","4","4","16","35","36","38","34","2","59","42","60","61","58","52"
"A00033747","Adult- Age 22-59","V1","3","1","2","4","4","2","2","4","4","3","2","3","4","4","2","3","3","3","1","3","0","2","4","3","3","0","4","4","1","3","2","3","3","2","3","2","4","2","4","3","1","3","2","2","3","4","2","4","3","3","0","3","4","1","4","0","4","2","4","3","19","34","38","33","37","2","26","46","58","64","49","56"
"A00040494","Adult- Age 22-59","V1","1","3","3","3","3","1","3","3","3","4","1","0","0","4","4","1","0","4","4","4","0","0","0","4","4","0","0","2","3","4","0","2","4","3","4","2","2","2","4","3","2","0","0","4","4","0","3","0","3","4","0","3","2","4","4","0","2","0","4","4","8","18","20","43","46","2","45","32","32","35","66","70"
"A00033673","Older Adult- Age 65-85","V1","3","2","1","2","3","2","2","3","4","3","1","2","2","4","3","1","3","2","2","3","1","2","2","4","3","1","3","3","2","3","2","1","1","2","3","2","2","2","3","3","1","3","2","4","3","1","2","3","3","3","1","2","2","3","2","1","2","2","3","2","17","26","25","36","34","2","66","43","45","43","54","52"
"A00064596","ONE_DAY-AGE 12","VA","1","4","3","3","1","1","3","3","2","1","1","3","2","2","1","1","3","2","0","3","1","3","1","2","2","0","2","2","1","2","1","3","2","2","3","3","3","2","2","2","2","3","0","3","2","1","2","2","2","2","0","4","3","0","1","1","2","2","3","2","13","35","24","22","22","1","12","41","63","45","36","33"
"A00038411","Adult- Age 22-59","V1","2","2","2","3","2","3","4","4","3","2","2","3","2","4","2","1","3","3","2","2","1","2","2","4","1","2","3","3","2","1","1","1","3","2","2","2","2","3","3","2","2","3","1","2","1","2","1","2","3","1","1","2","1","3","1","2","1","1","3","2","21","27","27","34","19","2","44","48","47","46","51","29"
"A00039159","Adult-Age 18-21","V1","3","3","1","4","1","3","4","4","4","1","2","1","4","4","1","2","4","3","2","3","0","3","4","3","1","1","4","3","2","3","1","2","3","3","4","2","2","4","3","2","0","4","3","3","1","2","1","4","4","4","2","2","3","3","2","0","1","3","4","4","18","31","39","39","27","2","18","45","53","66","59","41"
"A00057808","ENROLLED","V1","1","0","0","4","4","0","4","4","4","4","0","0","4","4","2","1","3","4","4","4","0","1","4","3","2","0","1","3","1","4","0","4","1","4","2","0","4","0","4","4","1","3","4","4","4","1","3","3","4","4","0","3","4","3","4","0","3","1","3","4","4","29","32","42","42","2","27","27","50","54","65","64"
"A00039074","Adult- Age 22-59","V1","3","3","3","4","2","3","4","3","4","2","4","1","4","3","1","3","3","3","3","3","3","2","2","1","2","1","3","3","3","1","4","3","0","4","3","2","4","3","4","3","2","3","3","3","1","2","3","4","4","3","3","3","2","3","2","1","3","1","3","2","31","35","31","39","25","2","47","61","60","53","59","38"
"A00058952","ENROLLED","V1","1","1","1","3","3","1","3","3","3","3","1","3","3","3","3","0","3","3","2","3","1","3","3","3","3","0","3","4","1","3","0","1","3","3","4","1","3","1","3","4","4","3","1","3","4","4","1","2","4","4","0","3","3","1","4","0","3","3","4","3","13","30","30","33","41","1","38","41","55","54","55","65"
"A00073677","ENROLLED","VA_ALG","2","2","2","4","1","3","3","3","4","1","3","1","3","4","1","3","4","3","2","3","1","1","3","3","1","2","4","3","1","3","1","1","4","3","2","1","3","4","4","3","1","4","3","3","1","3","4","4","4","3","0","4","4","2","2","0","0","2","4","2","20","31","38","38","23","2","44","47","53","64","58","35"
"A00044131","Adult- Age 22-59","V1","2","2","1","4","4","0","4","4","3","4","0","1","4","4","1","1","4","3","1","4","1","3","1","3","4","0","3","2","3","3","1","2","3","3","4","1","3","3","3","4","1","3","3","3","4","1","3","3","4","3","0","3","3","3","4","0","1","3","1","4","8","32","33","35","43","1","22","34","58","59","59","68"
"A00062928","ONE_DAY-Age 60-64","VA","3","3","1","3","1","3","3","3","3","1","3","3","3","4","1","1","3","3","3","3","1","3","1","3","1","1","3","3","1","1","3","2","1","3","4","1","3","3","4","3","4","3","0","3","3","1","1","1","4","3","1","3","3","4","0","1","1","0","2","1","23","31","22","37","22","2","62","51","53","38","56","33"
"A00062146","ONE_DAY-AGE 14","VA","3","2","2","3","3","2","3","2","4","3","1","2","2","4","3","4","2","3","3","4","2","1","2","4","2","1","1","4","1","3","2","2","1","2","3","2","2","2","3","2","2","2","1","3","2","3","2","1","3","4","1","3","1","3","3","1","2","2","3","2","24","24","23","36","34","2","14","52","42","40","54","52"
"A00060806","Child Age 16-17","V1","3","3","2","4","2","3","3","2","4","2","1","2","2","2","2","1","3","1","1","3","1","3","2","3","4","1","3","2","2","1","2","1","2","2","4","1","3","2","1","3","1","3","1","4","2","2","2","1","4","3","1","4","3","2","3","0","3","1","3","4","17","33","21","32","33","2","16","43","56","37","47","50"
"A00040301","Adult- Age 22-59","V1","3","1","3","4","4","3","4","4","4","4","3","3","3","4","3","2","4","3","3","4","1","2","3","4","2","3","1","3","4","2","3","1","4","4","4","1","4","4","4","4","1","4","3","4","4","3","4","4","4","4","1","4","4","3","4","4","4","4","4","4","28","36","42","46","43","2","23","57","61","70","72","66"
"A00038959","Older Adult- Age 65-85","V1","2","3","1","4","4","1","3","4","4","4","2","3","4","3","1","2","4","3","4","4","0","4","2","3","3","3","3","3","3","3","0","2","3","3","3","1","3","2","4","4","1","4","3","3","2","1","2","3","4","3","1","4","3","4","4","0","2","1","4","2","14","37","32","43","37","2","67","40","63","54","66","56"
"A00037531","Adult-Age 18-21","V1","1","1","3","4","4","1","4","3","3","3","1","0","1","3","3","1","3","2","1","4","1","3","2","3","3","0","2","3","3","3","1","1","1","3","4","3","4","1","3","2","1","3","1","3","2","4","2","2","3","4","1","3","2","2","4","1","3","2","3","3","16","29","23","34","39","2","21","42","50","40","51","60"
"A00039143","Adult- Age 22-59","V1","2","1","1","3","3","2","3","3","2","3","1","3","2","3","3","1","2","3","2","3","2","2","2","2","1","0","3","3","2","3","1","2","2","3","3","3","2","3","1","3","1","3","1","3","3","3","2","3","3","3","1","2","3","1","3","0","2","3","3","3","17","27","29","28","34","2","24","43","47","50","40","52"
"A00060301","Older Adult- Age 65-85","V1","1","2","1","3","3","1","3","3","3","3","1","3","3","3","3","0","3","3","1","3","0","3","3","3","3","0","3","3","1","3","1","1","3","3","3","1","3","1","3","3","1","3","2","3","3","1","2","3","3","3","1","3","3","3","3","1","3","2","3","3","9","32","30","32","36","1","75","36","58","54","54","56"
