"","","","I tend to be quite wrapped up and interested in whatever I am doing.","A really original idea can sometimes develop from a really fantastic dream.","In my fantasies, a friend discoveres I have lied.","I do not really 'see' the objects in a daydream.","I am the kind of person whose thoughts often wander.","In my dreams, I see myself as an expert, whose opinion is sought by all.","Sometimes an answer to a dificult problem will come to me during a daydream.","My mind seldom wanders from my work.","I imagine myself failing those I love.","I picture myself as I will be several years from now.","I find that I easily lose interest in things that I have to do.","My daydreams often contain depressing events which upset me.","I am not easily distracted.","In my dreams, I show my anger toward my enemies.","My fantasies usually provide me with pleasant thoughts.","My ability to concentrate is not impaired by someone talking in another part of my house or apartament.","The sounds I hear in my daydreams are clear and distinct.","I imagine myself not being able to finish a job I am required to do.","Daydreaming never solves any problems.","No matter how hard I try to concentrate, thoughts unrelated to my work always creep in.","In my daydreams I become angry and even antagonistic towards others.","My daydreams are often stimulating and rewarding.","I can work at something for a long time without feeling the least bit bored or restless.","In my daydreams, I am always afraid of being caught doing something wrong.","Faced with a tedious job, I notice all the other things that I could be doing.","I seldom think about what I will be doing in the future.","In my fantasies, I receive an award before a large audience.","My daydreams offer me useful clues to tricky situations I face.","I tend to be easily bored.","Unpleasant daydrems don't frighten or bother me.","The 'pictures' in my mind seem as clear as photographs.","In my daydreams, I fear meeting new responsibilities in life.","I find it hard to read when someone is on the telephone in a neighboring room.","I find myself imagining ways of getting even with those I dislike.","I am seldom bored.","My daydreams often leave me with a warm, happy feeling.","I picture myself accepted into an organization for successful individuals only.","Daydreams do not have any practical significance for me.","I find it difficult to concentrate when the TV or radio is on.","I daydream about what I would like to see happen in the future.","In my daydreams I feel guilty for having escaped punishment.","My thoughts seldom drift from the subject before me.","I find my daydreams are worthwhile and interesting to me.","I never panic as the result of a daydream.","I have difficulty maintaining concentration for long periods of time.","PCD Score","GFD Score","PAC Score","Total Score"
"A00066236","ONE_DAY","V3","5","4","1","3","4","3","5","3","1","4","1","1","4","3","4","4","3","1","1","3","3","3","5","1","4","2","1","3","2","5","2","1","2","3","4","3","1","4","4","4","1","4","4","5","2","53","23","35","111"
"A00054914","ENROLLED","V3","4","4","3","3","3","2","3","4","3","3","2","2","3","3","4","4","3","2","3","2","2","4","3","2","4","3","2","3","4","3","3","2","2","2","2","4","3","3","4","4","4","4","4","4","4","51","37","43","131"
"A00045590","ENROLLED","V3","4","3","1","1","3","2","3","3","1","3","3","3","3","1","3","4","2","3","4","2","1","3","2","1","4","1","1","3","4","4","3","2","2","1","2","4","1","4","3","4","1","3","2","4","3","49","23","45","117"
"A00063589","ONE_DAY","V3","5","4","2","2","4","4","4","2","3","4","2","3","2","4","4","5","4","3","3","3","3","4","4","1","5","1","3","3","2","4","4","3","1","4","4","2","3","3","1","5","2","2","3","5","2","54","41","38","133"
"A00065991","ONE_DAY","V3","4","2","1","1","1","1","3","3","3","3","3","1","3","1","3","3","3","1","3","3","1","3","3","1","2","1","3","3","2","3","4","3","1","1","3","3","3","3","1","4","1","3","3","3","3","50","27","36","113"
"A00032875","ONE_DAY","V3","1","2","1","2","1","1","1","1","5","4","4","2","1","1","1","2","1","2","5","5","4","1","1","1","1","1","2","5","4","1","5","4","4","4","2","2","1","2","2","5","3","4","4","5","1","49","37","52","138"
"A00072203","ONE_DAY","V3","5","5","1","1","3","4","4","3","1","3","3","2","3","1","5","3","3","1","1","3","1","3","4","3","3","2","1","4","2","3","4","1","4","1","2","5","4","3","3","5","1","1","1","1","1","59","30","43","132"
"A00065995","ONE_DAY","V3","3","3","1","2","2","3","3","1","1","3","2","1","3","1","4","3","2","2","3","4","1","3","4","1","3","2","1","4","2","4","3","3","1","3","3","2","2","4","2","2","1","3","3","4","2","47","25","40","112"
"A00066781","ONE_DAY","V3","4","5","4","1","5","5","5","3","4","5","4","4","4","5","4","4","3","3","2","3","5","5","4","5","4","3","3","4","1","5","4","2","4","3","5","4","5","4","5","4","4","4","5","3","1","62","56","41","159"
"A00061806","ONE_DAY","V3","4","3","2","2","3","3","3","4","2","4","2","2","4","2","4","4","3","2","3","3","1","3","2","4","3","3","3","3","4","4","2","2","2","3","3","3","3","2","3","4","3","3","3","4","4","49","36","42","127"
"A00059911","ENROLLED","V3","3","2","1","3","4","3","3","3","3","4","2","3","3","3","4","3","3","2","3","2","3","4","4","3","1","4","4","3","3","4","3","2","4","3","3","4","4","3","4","5","3","3","4","3","2","50","42","42","134"
"A00060372","ENROLLED","V3","4","2","2","4","3","3","2","2","3","1","4","4","2","5","3","2","2","2","4","4","4","3","2","1","4","2","1","4","3","4","5","4","5","5","2","2","3","4","3","3","3","2","3","3","3","42","45","55","142"
"A00057444","ENROLLED","V3","5","5","3","3","4","4","4","4","5","2","5","3","3","4","4","4","2","2","3","3","3","2","4","3","3","3","3","3","4","4","4","4","4","3","3","3","3","3","5","4","3","3","3","3","3","50","48","47","145"
"A00034854","ENROLLED","V3","4","1","3","3","1","3","3","5","5","4","1","5","5","3","3","3","2","1","4","2","1","1","4","4","5","1","1","3","3","2","3","1","4","1","3","1","1","4","2","4","1","5","2","5","1","41","35","32","108"
"A00053902","ENROLLED","V3","4","5","1","3","4","2","5","4","2","5","3","4","3","4","4","4","3","2","3","4","1","4","3","3","5","1","3","4","3","3","4","2","1","4","3","5","3","4","1","5","2","4","4","3","3","61","39","41","141"
"A00051539","ENROLLED","V3","4","2","1","3","3","1","4","3","1","3","3","2","4","4","4","4","4","3","4","2","1","4","4","1","3","2","2","4","2","3","3","2","2","1","5","4","1","2","2","5","1","5","5","5","1","53","25","31","109"
"A00057808","ENROLLED","V3","5","4","1","1","3","1","1","5","1","2","1","1","4","1","1","4","1","1","5","2","1","1","5","1","4","5","1","1","4","1","1","1","1","1","4","1","1","5","1","1","1","1","1","5","1","27","19","31","77"
"A00040944","ENROLLED","V3","4","4","1","1","5","5","5","1","1","5","1","1","1","4","5","3","3","1","2","1","4","5","3","1","4","1","1","3","5","1","4","1","5","4","1","5","3","2","2","5","1","2","5","1","2","67","38","52","157"
"A00037112","ENROLLED","V3","4","4","1","1","5","1","1","1","2","5","5","1","5","1","1","1","5","2","1","4","1","2","4","1","1","1","1","1","5","1","4","1","1","1","4","1","3","5","1","1","1","1","2","5","2","39","23","46","108"
"A00065574","ONE_DAY","V3","4","2","2","3","2","1","4","4","4","4","2","4","3","2","3","2","3","2","1","3","2","4","2","2","4","1","2","3","3","3","4","4","4","2","2","3","3","2","4","4","3","2","4","3","4","55","39","49","143"
"A00065480","ONE_DAY","V3","3","4","2","3","3","3","4","4","3","3","1","3","3","1","3","5","3","1","3","3","1","3","3","3","3","3","3","3","3","3","2","3","4","1","3","3","3","3","4","3","3","3","3","3","3","46","36","42","124"
"A00052125","ENROLLED","V3","4","2","2","2","4","5","3","2","2","3","4","1","2","4","5","4","4","2","2","2","1","4","4","2","3","2","3","2","4","2","3","2","2","2","2","4","4","2","4","5","2","3","4","5","2","53","37","46","136"
"A00058214","ENROLLED","V3","4","3","4","4","2","4","3","2","2","2","1","3","2","3","4","4","4","4","2","3","1","4","4","3","3","5","2","5","3","2","4","1","2","3","2","4","4","2","4","4","1","2","4","2","4","50","43","44","137"
"A00062248","ONE_DAY","V3","4","5","1","5","5","3","3","3","3","4","2","2","1","4","4","2","1","3","3","4","2","3","3","2","4","2","3","3","3","2","1","3","5","4","4","3","4","2","5","5","1","5","4","4","5","52","41","53","146"
"A00053473","ENROLLED","V3","4","5","1","2","3","5","4","4","3","4","2","1","3","3","4","4","4","3","2","1","1","4","3","1","3","1","3","4","2","5","4","1","3","3","3","4","4","3","3","4","1","4","4","5","3","59","32","37","128"
"A00060471","ENROLLED","V3","4","3","4","2","5","2","2","4","5","5","5","5","1","5","1","2","4","4","4","5","5","3","3","3","2","2","1","1","3","1","5","3","2","5","3","1","1","4","3","5","4","1","1","4","4","41","54","53","148"
"A00051548","ENROLLED","V3","4","3","2","4","5","2","4","2","3","4","3","2","3","2","5","4","3","2","3","4","1","4","4","2","4","1","1","2","2","3","3","2","2","1","2","4","3","5","1","5","1","3","3","4","2","51","29","43","123"
"A00057372","ENROLLED","V3","2","2","1","2","3","3","2","2","3","3","2","2","4","3","4","4","2","2","2","2","2","3","4","2","3","2","2","3","2","4","2","3","3","2","4","4","2","3","4","4","2","4","3","5","2","49","32","39","120"
"A00040524","ENROLLED","V3","4","4","3","3","4","3","3","4","4","4","4","3","2","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","47","46","48","141"
"A00066827","ONE_DAY","V3","4","4","1","1","5","2","3","1","5","5","4","4","1","4","4","2","3","4","4","5","2","4","1","2","5","2","1","3","5","2","2","4","4","4","1","2","4","2","4","5","1","4","4","2","5","54","46","65","165"
"A00057965","ENROLLED","V3","5","5","1","2","3","4","3","2","1","3","3","1","4","5","5","4","1","1","3","1","1","3","3","1","5","4","3","3","3","1","3","1","5","3","3","3","4","4","4","4","1","3","4","5","5","52","33","47","132"
"A00063368","ONE_DAY","V3","5","4","1","1","4","3","4","2","3","4","3","2","3","4","5","2","5","3","3","4","1","4","2","3","4","1","1","4","4","1","4","2","2","4","4","4","2","2","4","5","3","3","4","5","4","60","38","50","148"
"A00062942","ONE_DAY","V3","5","3","3","3","4","2","2","3","1","3","1","1","2","1","5","2","3","1","3","1","1","3","5","1","3","2","1","1","3","3","3","2","2","1","3","3","3","5","1","3","1","2","2","5","4","42","23","39","104"
"A00057005","ENROLLED","V3","5","5","1","3","5","4","5","1","1","5","1","1","1","1","5","5","1","1","1","2","1","5","4","1","3","1","5","5","2","3","4","1","2","1","4","5","4","1","1","5","1","2","5","5","2","72","27","38","137"
"A00028185","ENROLLED","V3","4","4","3","2","2","3","2","2","1","5","1","1","2","3","5","4","3","2","2","1","1","4","4","2","3","1","4","3","2","2","3","2","3","2","3","4","5","1","2","5","1","3","4","4","3","60","36","37","133"
"A00061387","ONE_DAY","V3","4","4","1","4","4","2","4","4","2","5","5","3","1","4","4","2","3","4","3","4","3","4","4","2","4","4","3","4","5","5","4","2","5","4","4","3","3","3","5","4","1","3","3","2","4","52","39","56","147"
"A00063008","ONE_DAY","V3","2","2","2","3","4","4","4","4","4","5","4","4","4","3","3","4","4","4","4","4","3","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","48","53","49","150"
"A00054019","ENROLLED","V3","4","5","2","1","5","2","3","2","1","3","3","1","2","1","5","5","3","1","3","1","1","4","2","1","3","2","1","1","4","3","4","2","1","1","3","5","1","3","2","4","1","2","3","4","4","55","21","45","121"
"A00059527","ENROLLED","V3","4","3","2","1","4","3","4","3","2","5","2","1","4","4","5","4","4","2","2","3","2","4","4","4","3","1","2","4","2","2","4","4","3","1","4","5","4","2","2","5","2","3","5","5","2","64","38","37","139"
"A00063326","ONE_DAY","V3","5","5","3","5","1","1","3","5","5","3","1","1","5","2","5","1","1","3","5","1","2","1","5","1","5","2","1","2","3","3","1","1","2","3","4","3","1","5","1","4","1","5","~<userSkipped>~","5","1","39!WithErrors!","29","27","56!WithErrors!"
"A00055121","ENROLLED","V3","5","5","1","1","4","3","3","4","3","4","3","2","2","3","5","3","3","3","3","3","2","4","2","3","3","4","3","3","4","5","2","3","2","1","3","4","3","3","2","4","2","3","4","4","2","54","35","43","132"
"A00059428","ENROLLED","V3","4","2","4","1","5","1","4","1","4","4","4","5","2","4","5","2","5","4","2","5","2","4","1","4","4","1","4","1","1","1","4","1","5","4","1","2","1","1","2","5","1","1","1","2","4","52","48","60","160"
"A00051676","ENROLLED","V3","4","3","3","3","3","1","5","4","1","4","3","1","5","3","3","3","3","3","3","3","3","3","3","1","1","4","3","3","2","3","3","3","1","1","1","4","2","4","4","4","3","3","3","3","3","48","34","39","121"
"A00065974","ENROLLED","V3","4","1","2","1","3","3","3","2","1","2","1","1","2","1","1","1","2","1","1","1","1","1","4","1","1","4","1","1","1","1","1","1","1","1","1","3","1","1","2","4","3","1","3","3","4","41","26","41","108"
"A00059756","ENROLLED","V3","4","1","1","1","3","1","3","4","1","4","2","1","4","1","3","4","1","2","5","3","1","3","4","1","3","1","1","1","2","3","1","4","4","1","4","3","1","5","2","4","1","4","2","3","4","42","23","37","102"
"A00062351","ONE_DAY","V3","4","4","1","5","4","1","5","2","1","2","2","1","4","3","3","2","3","2","1","4","2","4","2","1","4","2","1","5","4","5","2","1","4","4","2","3","1","1","4","4","1","2","4","5","2","54","22","52","128"
"A00039431","ENROLLED","V3","5","2","1","2","4","3","2","2","2","4","2","2","2","2","4","2","3","2","2","2","2","4","4","2","5","1","2","2","2","2","4","2","1","4","4","4","2","4","2","5","2","2","4","4","2","53","34","41","128"
"A00055446","ENROLLED","V3","1","4","4","4","4","5","5","2","4","5","4","4","4","3","4","3","5","4","3","5","4","4","4","5","5","3","4","4","4","3","5","4","5","4","5","3","5","4","5","4","4","5","5","4","5","54","59","55","168"
"A00056627","ENROLLED","V3","4","4","1","2","4","3","4","2","3","4","4","1","4","2","5","2","3","1","2","2","2","4","4","1","4","2","4","4","1","4","5","4","2","2","4","4","2","4","2","4","1","4","4","4","4","59","31","41","131"
"A00066926","ONE_DAY","V3","5","5","3","2","4","1","4","2","2","2","3","2","2","2","3","3","2","4","5","4","1","3","5","4","4","4","2","4","4","4","4","3","4","4","4","2","5","4","4","4","2","3","5","5","4","49","38","49","136"
"A00043998","ENROLLED","V3","4","2","2","2","4","2","3","3","4","4","3","4","3","4","4","2","3","2","4","4","2","3","2","2","4","3","4","2","3","2","3","4","5","4","3","4","3","3","3","4","2","2","4","3","3","48","46","52","146"
"A00040151","ENROLLED","V3","4","3","2","1","5","2","2","1","2","4","4","2","1","2","5","1","5","3","2","5","2","4","1","3","5","1","2","3","4","2","5","3","4","2","2","5","2","3","2","5","2","1","4","2","5","58","37","65","160"
"A00064081","ONE_DAY","V3","4","1","1","4","2","1","1","4","1","3","1","3","5","3","3","4","2","1","5","1","1","3","4","1","1","4","3","1","1","3","3","1","2","1","5","3","1","5","2","2","1","4","3","5","1","33","23","23","79"
"A00066319","ONE_DAY","V3","5","4","1","2","2","4","3","5","1","3","2","1","5","1","5","2","1","3","2","1","1","5","5","1","2","1","5","5","2","5","5","1","3","1","5","5","4","1","4","5","1","5","4","4","1","67","28","27","122"
"A00062266","ONE_DAY","V3","4","4","1","2","4","1","5","3","3","4","2","3","4","4","4","2","2","3","1","2","2","3","5","1","2","1","3","4","1","2","3","2","5","1","5","3","3","1","2","4","1","2","4","5","1","61","33","36","130"
"A00040640","ENROLLED","V3","3","3","2","3","2","2","4","4","2","4","2","2","3","3","4","2","3","2","1","2","1","4","4","1","1","2","1","3","2","2","3","3","4","1","4","4","2","2","4","5","3","3","4","3","3","57","32","39","128"
"A00040628","ONE_DAY","V3","4","4","1","3","2","2","2","4","1","4","1","1","4","1","4","5","1","2","3","2","2","3","4","1","2","2","1","1","2","4","1","2","1","1","4","2","1","4","2","2","1","2","2","5","2","42","20","29","91"
"A00066812","ONE_DAY","V3","4","5","2","5","2","3","4","4","3","4","1","1","4","1","4","4","1","2","3","1","1","3","4","1","4","4","3","2","3","4","2","2","2","1","2","3","4","4","4","4","2","2","3","5","2","47","29","37","113"
"A00058952","ENROLLED","V3","4","5","1","1","3","1","1","1","1","1","1","1","1","1","1","3","3","1","3","1","3","1","3","1","3","1","3","1","5","3","1","1","1","1","4","1","1","3","1","1","3","1","1","1","1","33","27","41","101"
"A00066091","ONE_DAY","V3","4","4","1","3","3","4","3","3","2","4","3","1","3","3","4","2","3","2","3","3","1","3","4","1","2","1","3","1","3","1","2","3","1","3","3","3","3","3","3","5","1","3","4","4","3","50","35","41","126"
"A00057235","ENROLLED","V3","5","4","1","1","3","2","4","2","1","1","3","3","3","4","3","2","1","1","4","1","1","4","4","3","2","4","3","2","4","2","2","3","2","1","3","3","3","4","2","4","1","3","3","5","2","46","32","39","117"
"A00035840","ENROLLED","V3","4","4","2","5","4","5","5","3","1","5","2","4","2","4","4","4","4","1","5","4","1","4","4","1","3","5","3","3","3","1","5","1","1","4","3","4","3","4","1","5","1","4","3","5","2","49","37","38","124"
"A00040193","ENROLLED","V3","5","3","1","1","3","1","1","5","1","1","1","1","5","1","1","5","1","1","5","1","1","1","5","1","2","2","1","1","1","2","1","1","4","1","1","1","2","5","1","2","1","5","1","2","1","29","22","25","76"
"A00060516","ENROLLED","V3","4","5","1","1","4","5","4","3","1","3","3","3","4","3","3","5","5","3","2","3","3","4","4","3","3","2","2","3","3","3","3","3","3","3","3","3","3","2","1","4","2","3","4","3","3","54","41","39","134"
"A00052500","ENROLLED","V3","4","4","3","2","4","1","2","4","5","5","4","1","2","4","4","4","4","2","2","4","4","4","2","4","4","4","1","4","4","4","4","2","4","4","2","4","3","2","4","4","1","4","4","2","2","55","41","50","146"
"A00035827","ENROLLED","V3","4","4","5","4","3","3","3","4","3","3","4","3","4","3","4","4","4","1","5","1","1","1","4","4","5","1","5","4","3","1","5","5","5","5","5","3","3","3","5","5","3","3","5","3","3","50","52","43","145"
